frameIndex,detectorType,descriptorType,TTC_Lidar,TTC_Camera,TTC_Diff
2,HARRIS,ORB,12.6142,nan,nan
3,HARRIS,ORB,14.091,-11.4731,25.5642
4,HARRIS,ORB,16.6894,12.4979,4.19148
5,HARRIS,ORB,15.7465,13.6432,2.10334
6,HARRIS,ORB,12.7835,12.9945,-0.210998
7,HARRIS,ORB,11.9844,13.6036,-1.61927
8,HARRIS,ORB,13.1241,12.6385,0.485584
9,HARRIS,ORB,13.0241,nan,nan
10,HARRIS,ORB,11.1746,10.2931,0.881533
11,HARRIS,ORB,12.8086,11.8135,0.995099
12,HARRIS,ORB,8.95978,12.245,-3.28521
13,HARRIS,ORB,9.96439,284.161,-274.197
14,HARRIS,ORB,9.59863,nan,nan
15,HARRIS,ORB,8.52157,-inf,inf
16,HARRIS,ORB,9.51552,6.45749,3.05804
17,HARRIS,ORB,9.61241,12.7384,-3.12602
18,HARRIS,ORB,8.3988,-inf,inf

1,SHITOMASI,ORB,12.5156,12.6853,-0.169702
2,SHITOMASI,ORB,12.6142,11.1896,1.42466
3,SHITOMASI,ORB,14.091,12.1,1.99101
4,SHITOMASI,ORB,16.6894,11.7164,4.97299
5,SHITOMASI,ORB,15.7465,12.5462,3.20034
6,SHITOMASI,ORB,12.7835,15.4568,-2.67327
7,SHITOMASI,ORB,11.9844,11.5978,0.386573
8,SHITOMASI,ORB,11.9844,11.5978,0.386573
9,SHITOMASI,ORB,13.0241,11.5126,1.5115
10,SHITOMASI,ORB,11.1746,12.7362,-1.56155
11,SHITOMASI,ORB,12.8086,11.2358,1.57278
12,SHITOMASI,ORB,8.95978,12.0454,-3.0856
13,SHITOMASI,ORB,9.96439,11.6848,-1.72044
14,SHITOMASI,ORB,9.59863,11.9426,-2.34399
15,SHITOMASI,ORB,8.52157,10.009,-1.48739
16,SHITOMASI,ORB,9.51552,10.2725,-0.757011
17,SHITOMASI,ORB,9.61241,11.5139,-1.90144
18,SHITOMASI,ORB,8.3988,10.317,-1.91816

1,FAST,ORB,12.5156,11.7818,0.733754
2,FAST,ORB,12.6142,10.4498,2.16448
3,FAST,ORB,14.091,12.9015,1.18946
4,FAST,ORB,14.091,12.9015,1.18946
5,FAST,ORB,15.7465,56.5674,-40.8209
6,FAST,ORB,15.7465,56.5674,-40.8209
7,FAST,ORB,11.9844,11.5161,0.468246
8,FAST,ORB,13.1241,12.0967,1.02738
9,FAST,ORB,13.0241,13.6469,-0.622744
10,FAST,ORB,11.1746,13.4637,-2.2891
11,FAST,ORB,12.8086,13.2068,-0.398191
12,FAST,ORB,8.95978,11.808,-2.84819
13,FAST,ORB,9.96439,11.868,-1.90358
14,FAST,ORB,9.59863,11.488,-1.88938
15,FAST,ORB,8.52157,11.1204,-2.59888
16,FAST,ORB,9.51552,12.2602,-2.74463
17,FAST,ORB,9.61241,10.4012,-0.788748
18,FAST,ORB,8.3988,12.6746,-4.27583

1,BRISK,ORB,12.5156,22.0665,-9.55088
2,BRISK,ORB,12.6142,22.9119,-10.2977
3,BRISK,ORB,14.091,23.6749,-9.58386
4,BRISK,ORB,16.6894,15.1958,1.49359
5,BRISK,ORB,15.7465,29.5882,-13.8417
6,BRISK,ORB,12.7835,17.0318,-4.24832
7,BRISK,ORB,11.9844,17.7722,-5.78789
8,BRISK,ORB,11.9844,17.7722,-5.78789
9,BRISK,ORB,13.0241,16.0344,-3.01024
10,BRISK,ORB,11.1746,10.6605,0.514132
11,BRISK,ORB,12.8086,11.4387,1.36986
12,BRISK,ORB,8.95978,9.78733,-0.827549
13,BRISK,ORB,9.96439,11.4679,-1.50354
14,BRISK,ORB,9.59863,12.1882,-2.58954
15,BRISK,ORB,8.52157,10.9466,-2.425
16,BRISK,ORB,9.51552,10.7676,-1.25208
17,BRISK,ORB,9.61241,8.93262,0.679799
18,BRISK,ORB,8.3988,10.4166,-2.01776

1,ORB,ORB,12.5156,10.2728,2.24285
2,ORB,ORB,12.6142,12.843,-0.228722
3,ORB,ORB,14.091,11.9489,2.14214
4,ORB,ORB,14.091,11.9489,2.14214
5,ORB,ORB,15.7465,-inf,inf
6,ORB,ORB,15.7465,-inf,inf
7,ORB,ORB,11.9844,-inf,inf
8,ORB,ORB,13.1241,10.9115,2.21264
9,ORB,ORB,13.0241,-inf,inf
10,ORB,ORB,11.1746,9.61345,1.56119
11,ORB,ORB,12.8086,5.62149,7.18712
12,ORB,ORB,8.95978,-inf,inf
13,ORB,ORB,9.96439,7.74427,2.22012
14,ORB,ORB,9.59863,38.649,-29.0504
15,ORB,ORB,8.52157,8.67855,-0.156981
16,ORB,ORB,9.51552,7.0528,2.46272
17,ORB,ORB,9.61241,8.71789,0.894522
18,ORB,ORB,8.3988,25.6678,-17.269

1,AKAZE,ORB,12.5156,12.4033,0.11234
2,AKAZE,ORB,12.6142,13.9131,-1.29888
3,AKAZE,ORB,14.091,13.2424,0.848608
4,AKAZE,ORB,16.6894,15.0771,1.61229
5,AKAZE,ORB,15.7465,14.9829,0.763632
6,AKAZE,ORB,12.7835,15.5222,-2.73867
7,AKAZE,ORB,11.9844,15.3448,-3.36044
8,AKAZE,ORB,13.1241,14.4557,-1.33155
9,AKAZE,ORB,13.0241,16.3573,-3.33321
10,AKAZE,ORB,11.1746,11.7726,-0.59795
11,AKAZE,ORB,12.8086,12.7506,0.0580422
12,AKAZE,ORB,8.95978,10.7717,-1.81197
13,AKAZE,ORB,9.96439,11.5239,-1.55947
14,AKAZE,ORB,9.59863,11.0076,-1.40899
15,AKAZE,ORB,8.52157,10.2243,-1.70273
16,AKAZE,ORB,9.51552,11.2034,-1.68787
17,AKAZE,ORB,9.61241,9.58876,0.0236554
18,AKAZE,ORB,8.3988,8.96071,-0.561909

1,SIFT,ORB,12.5156,11.542,0.973558
2,SIFT,ORB,12.6142,13.5986,-0.984366
3,SIFT,ORB,14.091,12.3504,1.74065
4,SIFT,ORB,16.6894,16.1913,0.498087
5,SIFT,ORB,15.7465,16.1427,-0.396111
6,SIFT,ORB,12.7835,11.2992,1.4843
7,SIFT,ORB,11.9844,14.2273,-2.24294
8,SIFT,ORB,13.1241,15.3854,-2.26124
9,SIFT,ORB,13.0241,12.7337,0.290439
10,SIFT,ORB,11.1746,11.3858,-0.211207
11,SIFT,ORB,12.8086,12.3477,0.460898
12,SIFT,ORB,8.95978,12.0373,-3.07753
13,SIFT,ORB,9.96439,9.98467,-0.0202795
14,SIFT,ORB,9.59863,10.4011,-0.802423
15,SIFT,ORB,8.52157,9.26573,-0.744166
16,SIFT,ORB,9.51552,10.5265,-1.01102
17,SIFT,ORB,9.61241,8.27606,1.33636
18,SIFT,ORB,8.3988,9.2414,-0.842596

frameIndex,detectorType,descriptorType,TTC_Lidar,TTC_Camera,TTC_Diff
1,HARRIS,FREAK,12.5156,nan,nan
2,HARRIS,FREAK,12.6142,nan,nan
3,HARRIS,FREAK,14.091,-11.4731,25.5642
4,HARRIS,FREAK,16.6894,12.4979,4.19148
5,HARRIS,FREAK,15.7465,13.6432,2.10334
6,HARRIS,FREAK,12.7835,12.9945,-0.210998
7,HARRIS,FREAK,11.9844,13.6036,-1.61927
8,HARRIS,FREAK,13.1241,12.6385,0.485584
9,HARRIS,FREAK,13.0241,nan,nan
10,HARRIS,FREAK,11.1746,10.2931,0.881533
11,HARRIS,FREAK,12.8086,11.8135,0.995099
12,HARRIS,FREAK,8.95978,12.245,-3.28521
13,HARRIS,FREAK,9.96439,284.161,-274.197
14,HARRIS,FREAK,9.59863,nan,nan
15,HARRIS,FREAK,8.52157,-inf,inf
16,HARRIS,FREAK,9.51552,6.45749,3.05804
17,HARRIS,FREAK,9.61241,12.7384,-3.12602
18,HARRIS,FREAK,8.3988,-inf,inf

1,SHITOMASI,FREAK,12.5156,12.6853,-0.169702
2,SHITOMASI,FREAK,12.6142,11.1896,1.42466
3,SHITOMASI,FREAK,14.091,12.1,1.99101
4,SHITOMASI,FREAK,16.6894,11.7164,4.97299
5,SHITOMASI,FREAK,15.7465,12.5462,3.20034
6,SHITOMASI,FREAK,12.7835,15.4568,-2.67327
7,SHITOMASI,FREAK,11.9844,11.5978,0.386573
8,SHITOMASI,FREAK,11.9844,11.5978,0.386573
9,SHITOMASI,FREAK,13.0241,11.5126,1.5115
10,SHITOMASI,FREAK,11.1746,12.7362,-1.56155
11,SHITOMASI,FREAK,12.8086,11.2358,1.57278
12,SHITOMASI,FREAK,8.95978,12.0454,-3.0856
13,SHITOMASI,FREAK,9.96439,11.6848,-1.72044
14,SHITOMASI,FREAK,9.59863,11.9426,-2.34399
15,SHITOMASI,FREAK,8.52157,10.009,-1.48739
16,SHITOMASI,FREAK,9.51552,10.2725,-0.757011
17,SHITOMASI,FREAK,9.61241,11.5139,-1.90144
18,SHITOMASI,FREAK,8.3988,10.317,-1.91816

1,FAST,FREAK,12.5156,11.7818,0.733754
2,FAST,FREAK,12.6142,10.4498,2.16448
3,FAST,FREAK,14.091,12.9015,1.18946
4,FAST,FREAK,14.091,12.9015,1.18946
5,FAST,FREAK,15.7465,56.5674,-40.8209
6,FAST,FREAK,15.7465,56.5674,-40.8209
7,FAST,FREAK,11.9844,11.5161,0.468246
8,FAST,FREAK,13.1241,12.0967,1.02738
9,FAST,FREAK,13.0241,13.6469,-0.622744
10,FAST,FREAK,11.1746,13.4637,-2.2891
11,FAST,FREAK,12.8086,13.2068,-0.398191
12,FAST,FREAK,8.95978,11.808,-2.84819
13,FAST,FREAK,9.96439,11.868,-1.90358
14,FAST,FREAK,9.59863,11.488,-1.88938
15,FAST,FREAK,8.52157,11.1204,-2.59888
16,FAST,FREAK,9.51552,12.2602,-2.74463
17,FAST,FREAK,9.61241,10.4012,-0.788748
18,FAST,FREAK,8.3988,12.6746,-4.27583

1,BRISK,FREAK,12.5156,22.0665,-9.55088
2,BRISK,FREAK,12.6142,22.9119,-10.2977
3,BRISK,FREAK,14.091,23.6749,-9.58386
4,BRISK,FREAK,16.6894,15.1958,1.49359
5,BRISK,FREAK,15.7465,29.5882,-13.8417
6,BRISK,FREAK,12.7835,17.0318,-4.24832
7,BRISK,FREAK,11.9844,17.7722,-5.78789
8,BRISK,FREAK,11.9844,17.7722,-5.78789
9,BRISK,FREAK,13.0241,16.0344,-3.01024
10,BRISK,FREAK,11.1746,10.6605,0.514132
11,BRISK,FREAK,12.8086,11.4387,1.36986
12,BRISK,FREAK,8.95978,9.78733,-0.827549
13,BRISK,FREAK,9.96439,11.4679,-1.50354
14,BRISK,FREAK,9.59863,12.1882,-2.58954
15,BRISK,FREAK,8.52157,10.9466,-2.425
16,BRISK,FREAK,9.51552,10.7676,-1.25208
17,BRISK,FREAK,9.61241,8.93262,0.679799
18,BRISK,FREAK,8.3988,10.4166,-2.01776

1,ORB,FREAK,12.5156,10.2728,2.24285
2,ORB,FREAK,12.6142,12.843,-0.228722
3,ORB,FREAK,14.091,11.9489,2.14214
4,ORB,FREAK,14.091,11.9489,2.14214
5,ORB,FREAK,15.7465,-inf,inf
6,ORB,FREAK,15.7465,-inf,inf
7,ORB,FREAK,11.9844,-inf,inf
8,ORB,FREAK,13.1241,10.9115,2.21264
9,ORB,FREAK,13.0241,-inf,inf
10,ORB,FREAK,11.1746,9.61345,1.56119
11,ORB,FREAK,12.8086,5.62149,7.18712
12,ORB,FREAK,8.95978,-inf,inf
13,ORB,FREAK,9.96439,7.74427,2.22012
14,ORB,FREAK,9.59863,38.649,-29.0504
15,ORB,FREAK,8.52157,8.67855,-0.156981
16,ORB,FREAK,9.51552,7.0528,2.46272
17,ORB,FREAK,9.61241,8.71789,0.894522
18,ORB,FREAK,8.3988,25.6678,-17.269

1,AKAZE,FREAK,12.5156,12.4033,0.11234
2,AKAZE,FREAK,12.6142,13.9131,-1.29888
3,AKAZE,FREAK,14.091,13.2424,0.848608
4,AKAZE,FREAK,16.6894,15.0771,1.61229
5,AKAZE,FREAK,15.7465,14.9829,0.763632
6,AKAZE,FREAK,12.7835,15.5222,-2.73867
7,AKAZE,FREAK,11.9844,15.3448,-3.36044
8,AKAZE,FREAK,13.1241,14.4557,-1.33155
9,AKAZE,FREAK,13.0241,16.3573,-3.33321
10,AKAZE,FREAK,11.1746,11.7726,-0.59795
11,AKAZE,FREAK,12.8086,12.7506,0.0580422
12,AKAZE,FREAK,8.95978,10.7717,-1.81197
13,AKAZE,FREAK,9.96439,11.5239,-1.55947
14,AKAZE,FREAK,9.59863,11.0076,-1.40899
15,AKAZE,FREAK,8.52157,10.2243,-1.70273
16,AKAZE,FREAK,9.51552,11.2034,-1.68787
17,AKAZE,FREAK,9.61241,9.58876,0.0236554
18,AKAZE,FREAK,8.3988,8.96071,-0.561909

1,SIFT,FREAK,12.5156,11.542,0.973558
2,SIFT,FREAK,12.6142,13.5986,-0.984366
3,SIFT,FREAK,14.091,12.3504,1.74065
4,SIFT,FREAK,16.6894,16.1913,0.498087
5,SIFT,FREAK,15.7465,16.1427,-0.396111
6,SIFT,FREAK,12.7835,11.2992,1.4843
7,SIFT,FREAK,11.9844,14.2273,-2.24294
8,SIFT,FREAK,13.1241,15.3854,-2.26124
9,SIFT,FREAK,13.0241,12.7337,0.290439
10,SIFT,FREAK,11.1746,11.3858,-0.211207
11,SIFT,FREAK,12.8086,12.3477,0.460898
12,SIFT,FREAK,8.95978,12.0373,-3.07753
13,SIFT,FREAK,9.96439,9.98467,-0.0202795
14,SIFT,FREAK,9.59863,10.4011,-0.802423
15,SIFT,FREAK,8.52157,9.26573,-0.744166
16,SIFT,FREAK,9.51552,10.5265,-1.01102
17,SIFT,FREAK,9.61241,8.27606,1.33636
18,SIFT,FREAK,8.3988,9.2414,-0.842596

frameIndex,detectorType,descriptorType,TTC_Lidar,TTC_Camera,TTC_Diff
1,HARRIS,SIFT,12.5156,-inf,inf
2,HARRIS,SIFT,12.6142,10.195,2.41922
3,HARRIS,SIFT,14.091,-10.295,24.386
4,HARRIS,SIFT,16.6894,nan,nan
5,HARRIS,SIFT,15.7465,-inf,inf
6,HARRIS,SIFT,12.7835,13.5907,-0.807219
7,HARRIS,SIFT,11.9844,-0.127351,12.1117
8,HARRIS,SIFT,11.9844,-0.127351,12.1117
9,HARRIS,SIFT,13.0241,nan,nan
10,HARRIS,SIFT,11.1746,nan,nan
11,HARRIS,SIFT,12.8086,11.2142,1.59438
12,HARRIS,SIFT,8.95978,12.551,-3.59122
13,HARRIS,SIFT,9.96439,26.9121,-16.9477
14,HARRIS,SIFT,9.59863,12.1403,-2.54162
15,HARRIS,SIFT,8.52157,-12.3391,20.8607
16,HARRIS,SIFT,9.51552,7.81295,1.70257
17,HARRIS,SIFT,9.61241,nan,nan
18,HARRIS,SIFT,8.3988,nan,nan

1,SHITOMASI,SIFT,12.5156,12.8304,-0.314788
2,SHITOMASI,SIFT,12.6142,13.4101,-0.79588
3,SHITOMASI,SIFT,14.091,8.71824,5.37278
4,SHITOMASI,SIFT,14.091,8.71824,5.37278
5,SHITOMASI,SIFT,15.7465,13.5536,2.19297
6,SHITOMASI,SIFT,12.7835,26.5388,-13.7553
7,SHITOMASI,SIFT,11.9844,14.1572,-2.17289
8,SHITOMASI,SIFT,13.1241,13.2998,-0.175695
9,SHITOMASI,SIFT,13.0241,13.237,-0.212864
10,SHITOMASI,SIFT,11.1746,12.2787,-1.10409
11,SHITOMASI,SIFT,12.8086,11.3528,1.45579
12,SHITOMASI,SIFT,8.95978,13.8638,-4.90399
13,SHITOMASI,SIFT,9.96439,12.7801,-2.81575
14,SHITOMASI,SIFT,9.59863,10.7678,-1.1692
15,SHITOMASI,SIFT,8.52157,10.225,-1.7034
16,SHITOMASI,SIFT,9.51552,12.1666,-2.65105
17,SHITOMASI,SIFT,9.61241,9.59482,0.0175921
18,SHITOMASI,SIFT,8.3988,9.49612,-1.09732

1,FAST,SIFT,12.5156,12.0452,0.470438
2,FAST,SIFT,12.6142,53.4139,-40.7996
3,FAST,SIFT,14.091,14.4553,-0.36425
4,FAST,SIFT,16.6894,23.5311,-6.84176
5,FAST,SIFT,15.7465,-inf,inf
6,FAST,SIFT,12.7835,12.7254,0.0580485
7,FAST,SIFT,11.9844,12.8474,-0.863026
8,FAST,SIFT,13.1241,10.7384,2.38572
9,FAST,SIFT,13.0241,12.9594,0.0647667
10,FAST,SIFT,11.1746,12.2538,-1.07912
11,FAST,SIFT,12.8086,12.2504,0.558236
12,FAST,SIFT,8.95978,10.8957,-1.93592
13,FAST,SIFT,9.96439,10.7352,-0.770824
14,FAST,SIFT,9.59863,9.89674,-0.298113
15,FAST,SIFT,8.52157,8.43148,0.0900864
16,FAST,SIFT,9.51552,12.1086,-2.59309
17,FAST,SIFT,9.61241,7.779,1.83341
18,FAST,SIFT,8.3988,12.3032,-3.90444

1,BRISK,SIFT,12.5156,13.1921,-0.676491
2,BRISK,SIFT,12.6142,49.4861,-36.8719
3,BRISK,SIFT,14.091,15.6685,-1.57749
4,BRISK,SIFT,16.6894,12.6232,4.06618
5,BRISK,SIFT,15.7465,23.4304,-7.68388
6,BRISK,SIFT,12.7835,26.278,-13.4945
7,BRISK,SIFT,11.9844,18.5218,-6.53741
8,BRISK,SIFT,13.1241,19.0246,-5.90052
9,BRISK,SIFT,13.0241,13.1396,-0.115454
10,BRISK,SIFT,11.1746,13.2327,-2.05803
11,BRISK,SIFT,12.8086,11.6373,1.17134
12,BRISK,SIFT,8.95978,11.0894,-2.12965
13,BRISK,SIFT,9.96439,9.75615,0.208242
14,BRISK,SIFT,9.59863,11.0753,-1.47663
15,BRISK,SIFT,8.52157,13.8813,-5.35976
16,BRISK,SIFT,9.51552,8.58924,0.926282
17,BRISK,SIFT,9.61241,8.46091,1.1515
18,BRISK,SIFT,8.3988,9.79528,-1.39647

1,ORB,SIFT,12.5156,13.9541,-1.43848
2,ORB,SIFT,12.6142,524.422,-511.808
3,ORB,SIFT,14.091,-34.6868,48.7778
4,ORB,SIFT,14.091,-34.6868,48.7778
5,ORB,SIFT,15.7465,-13.0057,28.7522
6,ORB,SIFT,15.7465,-13.0057,28.7522
7,ORB,SIFT,11.9844,-22.7646,34.7489
8,ORB,SIFT,13.1241,9.02151,4.10261
9,ORB,SIFT,13.0241,11.2743,1.74982
10,ORB,SIFT,11.1746,-11.3141,22.4888
11,ORB,SIFT,12.8086,6.47103,6.33757
12,ORB,SIFT,8.95978,-45.9724,54.9322
13,ORB,SIFT,9.96439,5.23825,4.72614
14,ORB,SIFT,9.59863,10618.6,-10609
15,ORB,SIFT,8.52157,8.68208,-0.160509
16,ORB,SIFT,9.51552,9.6657,-0.150178
17,ORB,SIFT,9.61241,-2004.31,2013.92
18,ORB,SIFT,8.3988,-2.7447,11.1435

1,AKAZE,SIFT,12.5156,13.2516,-0.736005
2,AKAZE,SIFT,12.6142,15.7048,-3.09056
3,AKAZE,SIFT,14.091,14.8863,-0.795266
4,AKAZE,SIFT,16.6894,15.2423,1.44707
5,AKAZE,SIFT,15.7465,18.7346,-2.98806
6,AKAZE,SIFT,12.7835,15.1718,-2.3883
7,AKAZE,SIFT,11.9844,14.4796,-2.4953
8,AKAZE,SIFT,13.1241,14.7845,-1.66036
9,AKAZE,SIFT,13.0241,13.5381,-0.513954
10,AKAZE,SIFT,11.1746,13.0627,-1.88801
11,AKAZE,SIFT,12.8086,12.0605,0.748064
12,AKAZE,SIFT,8.95978,11.0525,-2.09274
13,AKAZE,SIFT,9.96439,10.853,-0.888581
14,AKAZE,SIFT,9.59863,9.87676,-0.278134
15,AKAZE,SIFT,8.52157,9.59331,-1.07174
16,AKAZE,SIFT,9.51552,10.1634,-0.647843
17,AKAZE,SIFT,9.61241,8.70151,0.910902
18,AKAZE,SIFT,8.3988,8.599,-0.200193

1,SIFT,SIFT,12.5156,12.6744,-0.158804
2,SIFT,SIFT,12.6142,13.3384,-0.724139
3,SIFT,SIFT,14.091,12.0042,2.08677
4,SIFT,SIFT,16.6894,25.257,-8.56761
5,SIFT,SIFT,15.7465,11.4249,4.32164
6,SIFT,SIFT,12.7835,12.1107,0.672788
7,SIFT,SIFT,11.9844,16.7982,-4.81389
8,SIFT,SIFT,13.1241,15.7634,-2.63933
9,SIFT,SIFT,13.0241,13.9175,-0.893414
10,SIFT,SIFT,11.1746,11.2191,-0.0444618
11,SIFT,SIFT,12.8086,10.0357,2.77291
12,SIFT,SIFT,8.95978,8.81277,0.147013
13,SIFT,SIFT,9.96439,10.2387,-0.274272
14,SIFT,SIFT,9.59863,8.67276,0.925874
15,SIFT,SIFT,8.52157,8.55577,-0.0342014
16,SIFT,SIFT,9.51552,11.9541,-2.43855
17,SIFT,SIFT,9.61241,8.98511,0.627302
18,SIFT,SIFT,8.3988,9.23255,-0.833749

frameIndex,detectorType,descriptorType,TTC_Lidar,TTC_Camera,TTC_Diff
frameIndex,detectorType,descriptorType,TTC_Lidar,TTC_Camera,TTC_Diff
frameIndex,detectorType,descriptorType,TTC_Lidar,TTC_Camera,TTC_Diff
frameIndex,detectorType,descriptorType,TTC_Lidar,TTC_Camera,TTC_Diff
frameIndex,detectorType,descriptorType,TTC_Lidar,TTC_Camera,TTC_Diff
frameIndex,detectorType,descriptorType,TTC_Lidar,TTC_Camera,TTC_Diff
frameIndex,detectorType,descriptorType,TTC_Lidar,TTC_Camera,TTC_Diff
frameIndex,detectorType,descriptorType,TTC_Lidar,TTC_Camera,TTC_Diff
frameIndex,detectorType,descriptorType,TTC_Lidar,TTC_Camera,TTC_Diff
